"Season","SeasonEpNumber","Host","MusicalGuest","AirDate"
9,10,"Michael Palin","The Motels",1984-01-21
9,11,"Don Rickles","Billy Idol",1984-01-28
9,12,"Robin Williams","Adam Ant",1984-02-11
9,13,"Jamie Lee Curtis","The Fixx",1984-02-18
9,14,"Edwin Newman","Kool & the Gang",1984-02-25
9,15,"Billy Crystal","Al Jarreau",1984-03-17
9,16,"Michael Douglas","Deniece Williams",1984-04-07
9,17,"George McGovern","Madness",1984-04-14
9,18,"Barry Bostwick","Spinal Tap",1984-05-05
9,19,"Billy Crystal, Ed Koch, Edwin Newman, Don Novello, Betty Thomas","The Cars",1984-05-12
10,1,"(none)","Thompson Twins",1984-10-06
10,2,"Bob Uecker","Peter Wolf",1984-10-13
10,3,"Jesse Jackson","Andrae CrouchWintley Phipps",1984-10-20
10,4,"Michael McKean","Chaka KhanThe Folksmen",1984-11-03
10,5,"George Carlin","Frankie Goes to Hollywood",1984-11-10
10,6,"Ed Asner","The Kinks",1984-11-17
10,7,"Ed Begley, Jr.","Billy Squier",1984-12-01
10,8,"Ringo Starr","Herbie Hancock",1984-12-08
10,9,"Eddie Murphy","Robert Plant & the Honeydrippers",1984-12-15
10,10,"Kathleen Turner","John Waite",1985-01-12
10,11,"Roy Scheider","Billy Ocean",1985-01-19
10,12,"Alex Karras","Tina Turner",1985-02-02
10,13,"Harry Anderson","Bryan Adams",1985-02-09
10,14,"Pamela Sue Martin","Power Station",1985-02-16
10,15,"Mr. THulk Hogan","The Commodores",1985-03-30
10,16,"Christopher Reeve","Santana",1985-04-06
10,17,"Howard Cosell","Greg Kihn",1985-04-13
11,1,"Madonna","Simple Minds",1985-11-09
11,2,"Chevy Chase","Sheila E",1985-11-16
11,3,"Paul Reubens as Pee-wee Herman","Queen Ida & the Bon Temps Zydeco Band",1985-11-23
11,4,"John Lithgow","Mr. Mister",1985-12-07
11,5,"Tom Hanks","Sade",1985-12-14
11,6,"Teri Garr","The Dream AcademyThe Cult",1985-12-21
11,7,"Harry Dean Stanton","The Replacements",1986-01-18
11,8,"Dudley Moore","Al Green",1986-01-25
11,9,"Ron Reagan","The Nelsons",1986-02-08
11,10,"Jerry Hall","Stevie Ray VaughanDouble Trouble",1986-02-15
11,11,"Jay Leno","The Neville Brothers",1986-02-22
11,12,"Griffin Dunne","Rosanne Cash",1986-03-15
11,13,"George WendtFrancis Ford Coppola","Philip Glass",1986-03-22
11,14,"Oprah Winfrey","Joe Jackson",1986-04-12
11,15,"Tony Danza","Laurie Anderson",1986-04-19
11,16,"Catherine OxenbergPaul Simon","Paul SimonLadysmith Black Mambazo",1986-05-10
11,17,"Jimmy Breslin","Level 42E.G. Daily",1986-05-17
11,18,"Anjelica HustonBilly Martin","George ClintonParliament-Funkadelic",1986-05-24
12,1,"Sigourney Weaver","(none)",1986-10-11
12,2,"Malcolm-Jamal Warner","Run DMC",1986-10-18
12,3,"Rosanna Arquette","Ric Ocasek",1986-11-08
12,4,"Sam Kinison","Lou Reed",1986-11-15
12,5,"Robin Williams","Paul Simon",1986-11-22
12,6,"Chevy Chase, Steve Martin, Martin Short","Randy Newman",1986-12-06
12,7,"Steve Guttenberg","The Pretenders",1986-12-13
12,8,"William Shatner","Lone Justice",1986-12-20
12,9,"Joe MontanaWalter Payton","Deborah Harry",1987-01-24
12,10,"Paul Shaffer","Bruce Hornsby & the Range",1987-01-31
12,11,"Bronson Pinchot","Paul Young",1987-02-14
12,12,"Willie Nelson","Willie Nelson",1987-02-21
12,13,"Valerie Bertinelli","Robert Cray Band",1987-02-28
12,14,"Bill Murray","Percy Sledge",1987-03-21
12,15,"Charlton Heston","Wynton Marsalis",1987-03-28
12,16,"John Lithgow","Anita Baker",1987-04-11
12,17,"John Larroquette","Timbuk 3",1987-04-18
12,18,"Mark Harmon","Suzanne Vega",1987-05-09
12,19,"Garry Shandling","Los Lobos",1987-05-16
12,20,"Dennis Hopper","Roy Orbison",1987-05-23
13,1,"Steve Martin","Sting",1987-10-17
13,2,"Sean Penn","LL Cool J & Michael Penn",1987-10-24
13,3,"Dabney Coleman","The Cars",1987-10-31
13,4,"Robert Mitchum","Simply Red",1987-11-14
13,5,"Candice Bergen","Cher",1987-11-21
13,6,"Danny DeVito","Bryan Ferry",1987-12-05
13,7,"Angie Dickinson","Buster PoindexterDavid Gilmour",1987-12-12
13,8,"Paul Simon","Linda Ronstadt",1987-12-19
13,9,"Robin Williams","James Taylor",1988-01-23
13,10,"Carl Weathers","Robbie Robertson",1988-01-30
13,11,"Justine Bateman","Terence Trent D'Arby",1988-02-13
13,12,"Tom Hanks","Randy Travis",1988-02-20
13,13,"Judge Reinhold","10,000 Maniacs",1988-02-27
14,1,"Tom Hanks","Keith Richards",1988-10-08
14,2,"Matthew Broderick","The Sugarcubes",1988-10-15
14,3,"John Larroquette","Randy NewmanMark Knopfler",1988-10-22
14,4,"Matthew Modine","Edie Brickell and New Bohemians",1988-11-05
14,5,"Demi Moore","Johnny Clegg & Savuka",1988-11-12
14,6,"John Lithgow","Tracy Chapman",1988-11-19
14,7,"Danny DeVito","The Bangles",1988-12-03
14,8,"Kevin Kline","Bobby McFerrin",1988-12-10
14,9,"Melanie Griffith","Little Feat",1988-12-17
14,10,"John Malkovich","Anita Baker",1989-01-21
14,11,"Tony Danza","John Hiatt",1989-01-28
14,12,"Ted Danson","Luther Vandross",1989-02-11
14,13,"Leslie Nielsen","Cowboy Junkies",1989-02-18
14,14,"Glenn Close","Gipsy Kings",1989-02-25
14,15,"Mary Tyler Moore","Elvis Costello",1989-03-25
14,16,"Mel Gibson","Living Colour",1989-04-01
14,17,"Dolly Parton","Dolly Parton",1989-04-15
14,18,"Geena Davis","John Cougar Mellencamp",1989-04-22
14,19,"Wayne Gretzky","Fine Young Cannibals",1989-05-13
14,20,"Steve Martin","Tom Petty & the Heartbreakers",1989-05-20
15,1,"Bruce Willis","Neil Young",1989-09-30
15,2,"Rick Moranis","Rickie Lee Jones",1989-10-07
15,3,"Kathleen Turner","Billy Joel",1989-10-21
15,4,"James Woods","Don Henley",1989-10-28
15,5,"Chris Evert","Eurythmics",1989-11-11
15,6,"Woody Harrelson","David Byrne",1989-11-18
15,7,"John Goodman","k.d. lang",1989-12-02
15,8,"Robert Wagner","Linda RonstadtAaron Neville",1989-12-09
15,9,"Andie MacDowell","Tracy Chapman",1989-12-16
15,10,"Ed O'Neill","Harry Connick, Jr.",1990-01-13
15,11,"Christopher Walken","Bonnie Raitt",1990-01-20
15,12,"Quincy Jones","Tevin Campbell, Kool Moe Dee & Big Daddy Kane",1990-02-10
15,13,"Tom Hanks","Aerosmith",1990-02-17
15,14,"Fred Savage","Technotronic",1990-02-24
15,15,"Rob Lowe","The Pogues",1990-03-17
15,16,"Debra Winger","Eric Clapton",1990-03-24
15,17,"Corbin Bernsen","The Smithereens",1990-04-14
15,18,"Alec Baldwin","The B-52's",1990-04-21
15,19,"Andrew Dice Clay","Julee Cruise & Spanic Boys",1990-05-12
15,20,"Candice Bergen","The Notting Hillbillies",1990-05-19
16,1,"Kyle MacLachlan","Sinéad O'Connor",1990-09-29
16,2,"Susan Lucci","Hothouse Flowers",1990-10-06
16,3,"George Steinbrenner","Morris Day & The Time",1990-10-20
16,4,"Patrick Swayze","Mariah Carey",1990-10-27
16,5,"Jimmy Smits","World Party",1990-11-10
16,6,"Dennis Hopper","Paul Simon",1990-11-17
16,7,"John Goodman","Faith No More",1990-12-01
16,8,"Tom Hanks","Edie Brickell & New Bohemians",1990-12-08
16,9,"Dennis Quaid","The Neville Brothers",1990-12-15
16,10,"Joe Mantegna","Vanilla Ice",1991-01-12
16,11,"Sting","Sting",1991-01-19
16,12,"Kevin Bacon","INXS",1991-02-09
16,13,"Roseanne Barr","Deee-Lite",1991-02-16
16,14,"Alec Baldwin","Whitney Houston",1991-02-23
16,15,"Michael J. Fox","The Black Crowes",1991-03-16
16,16,"Jeremy Irons","Fishbone",1991-03-23
16,17,"Catherine O'Hara","R.E.M.",1991-04-13
16,18,"Steven Seagal","Michael Bolton",1991-04-20
16,19,"Delta Burke","Chris Isaak",1991-05-11
16,20,"George Wendt","Elvis Costello",1991-05-18
17,1,"Michael Jordan","Public Enemy",1991-09-28
17,2,"Jeff Daniels","Color Me Badd",1991-10-05
17,3,"Kirstie Alley","Tom Petty & The Heartbreakers",1991-10-12
17,4,"Christian Slater","Bonnie Raitt",1991-10-26
17,5,"Kiefer Sutherland","Skid Row",1991-11-02
17,6,"Linda Hamilton","Mariah Carey",1991-11-16
17,7,"Macaulay Culkin","Tin Machine",1991-11-23
17,8,"MC Hammer","MC Hammer",1991-12-07
17,9,"Steve Martin","James Taylor",1991-12-14
17,10,"Rob Morrow","Nirvana",1992-01-11
17,11,"Chevy Chase","Robbie RobertsonBruce Hornsby & the Range",1992-01-18
17,12,"Susan Dey","C&C Music Factory",1992-02-08
17,13,"Jason Priestley","Teenage Fanclub",1992-02-15
17,14,"Roseanne ArnoldTom Arnold","Red Hot Chili Peppers",1992-02-22
17,15,"John Goodman","Garth Brooks",1992-03-14
17,16,"Mary Stuart Masterson","En Vogue",1992-03-21
17,17,"Sharon Stone","Pearl Jam",1992-04-11
17,18,"Jerry Seinfeld","Annie Lennox",1992-04-18
17,19,"Tom Hanks","Bruce Springsteen",1992-05-09
17,20,"Woody Harrelson","Vanessa Williams",1992-05-16
18,1,"Nicolas Cage","Bobby Brown",1992-09-26
18,2,"Tim Robbins","Sinéad O'Connor",1992-10-03
18,3,"Joe Pesci","The Spin Doctors",1992-10-10
18,4,"Christopher Walken","Arrested Development",1992-10-24
18,5,"Catherine O'Hara","10,000 Maniacs",1992-10-31
18,6,"Michael Keaton","Morrissey",1992-11-14
18,7,"Sinbad","Sade",1992-11-21
18,8,"Tom Arnold","Neil Young",1992-12-05
18,9,"Glenn Close","The Black Crowes",1992-12-12
18,10,"Danny DeVito","Bon Jovi",1993-01-09
18,11,"Harvey Keitel","Madonna",1993-01-16
18,12,"Luke Perry","Mick Jagger",1993-02-06
18,13,"Alec Baldwin","Paul McCartney",1993-02-13
18,14,"Bill Murray","Sting",1993-02-20
18,15,"John Goodman","Mary J. Blige",1993-03-13
18,16,"Miranda Richardson","Soul Asylum",1993-03-20
18,17,"Jason Alexander","Peter Gabriel",1993-04-10
18,18,"Kirstie Alley","Lenny Kravitz",1993-04-17
18,19,"Christina Applegate","Midnight Oil",1993-05-08
18,20,"Kevin Kline","Willie Nelson & Paul Simon",1993-05-15
19,1,"Charles Barkley","Nirvana",1993-09-25
19,2,"Shannen Doherty","Cypress Hill",1993-10-02
19,3,"Jeff Goldblum","Aerosmith",1993-10-09
19,4,"John Malkovich","Billy Joel",1993-10-23
19,5,"Christian Slater","The Smashing Pumpkins",1993-10-30
19,6,"Rosie O'Donnell","James TaylorDon Grolnick",1993-11-13
19,7,"Nicole Kidman","Stone Temple Pilots",1993-11-20
19,8,"Charlton Heston","Paul Westerberg",1993-12-04
19,9,"Sally Field","Tony! Toni! Toné!Lili Haydn",1993-12-11
19,10,"Jason Patric","Blind Melon",1994-01-08
19,11,"Sara Gilbert","Counting Crows",1994-01-15
19,12,"Patrick Stewart","Salt-N-Pepa",1994-02-05
19,13,"Alec Baldwin and Kim Basinger","UB40",1994-02-12
19,14,"Martin Lawrence","Crash Test Dummies",1994-02-19
19,15,"Nancy Kerrigan","Aretha Franklin",1994-03-12
19,16,"Helen Hunt","Snoop Doggy Dogg",1994-03-19
19,17,"Kelsey Grammer","Dwight Yoakam",1994-04-09
19,18,"Emilio Estevez","Pearl Jam",1994-04-16
19,19,"John Goodman","The Pretenders",1994-05-07
19,20,"Heather Locklear","Janet Jackson",1994-05-14
20,1,"Steve Martin","Eric Clapton",1994-09-24
20,2,"Marisa Tomei","Bonnie Raitt",1994-10-01
20,3,"John Travolta","Seal",1994-10-15
20,4,"Dana Carvey","Edie Brickell & Paul Simon",1994-10-22
20,5,"Sarah Jessica Parker","R.E.M.",1994-11-12
20,6,"John Turturro","Tom Petty",1994-11-19
20,7,"Roseanne","Green Day",1994-12-03
20,8,"Alec Baldwin","Beastie Boys",1994-12-10
20,9,"George Foreman","Hole",1994-12-17
20,10,"Jeff Daniels","Luscious Jackson",1995-01-14
20,11,"David Hyde Pierce","Live",1995-01-21
20,12,"Bob Newhart","Des'ree",1995-02-11
20,13,"Deion Sanders","Bon Jovi",1995-02-18
20,14,"George Clooney","The Cranberries",1995-02-25
20,15,"Paul Reiser","Annie Lennox",1995-03-18
20,16,"John Goodman","The Tragically Hip",1995-03-25
20,17,"Damon Wayans","Dionne Farris",1995-04-08
20,18,"Courteney Cox","Dave Matthews Band",1995-04-15
20,19,"Bob Saget","TLC",1995-05-06
20,20,"David Duchovny","Rod Stewart",1995-05-13
