"Season","Guests","Rating","Votes"
17,"Jerry Seinfeld/Annie Lennox","7.2","56"
17,"Tom Hanks/Bruce Springsteen","7.3","40"
17,"Woody Harrelson/Vanessa Williams","6.7","30"
18,"Nicolas Cage/Bobby Brown","6.3","37"
18,"Tim Robbins/Sinéad O'Connor","6.5","40"
18,"Joe Pesci/Spin Doctors","6.7","41"
18,"Christopher Walken/Arrested Development","7.7","45"
18,"Catherine O'Hara/10,000 Maniacs","6.8","35"
18,"Michael Keaton/Morrissey","7.2","37"
18,"Sinbad/Sade","5.1","26"
18,"Tom Arnold/Neil Young","5.5","33"
18,"Glenn Close/Black Crowes","6.2","28"
18,"Danny DeVito/Bon Jovi","6.3","34"
18,"Harvey Keitel/Madonna","7.2","38"
18,"Luke Perry/Mick Jagger","5.5","36"
18,"Alec Baldwin/Paul McCartney","7.7","49"
18,"Bill Murray/Sting","7.9","41"
18,"John Goodman/Mary J. Blige","6.4","30"
18,"Miranda Richardson/Soul Asylum","7.5","31"
18,"Jason Alexander/Peter Gabriel","7.1","37"
18,"Kirstie Alley/Lenny Kravitz","6.1","30"
18,"Christina Applegate/Midnight Oil","7.2","54"
18,"Kevin Kline/Willie Nelson & Paul Simon","6.0","28"
19,"Charles Barkley/Nirvana","7.5","54"
19,"Shannon Doherty/Cypress Hill","6.4","33"
19,"Jeff Goldblum/Aerosmith","6.2","46"
19,"John Malkovich/Billy Joel","7.1","35"
19,"Christian Slater/Smashing Pumpkins","6.7","35"
19,"Rosie O'Donnell/James Taylor","3.9","30"
19,"Nicole Kidman/Stone Temple Pilots","6.6","34"
19,"Charlton Heston/Paul Westerberg","6.1","45"
19,"Sally Field/Tony! Toni! Tone!","6.0","32"
19,"Jason Patric/Blind Melon","5.9","32"
19,"Sara Gilbert/Counting Crows","6.3","43"
19,"Patrick Stewart/Salt-N-Pepa","7.5","39"
19,"Alec Baldwin & Kim Basinger/UB40","6.2","37"
19,"Martin Lawrence/Crash Test Dummies","5.8","41"
19,"Nancy Kerrigan/Aretha Franklin","4.5","30"
19,"Helen Hunt/Snoop Doggy Dogg","6.9","34"
19,"Kelsey Grammer/Dwight Yoakam","5.0","26"
19,"Emilio Estevez/Pearl Jam","7.0","34"
19,"John Goodman/The Pretenders","5.4","27"
19,"Heather Locklear/Janet Jackson","6.3","32"
20,"Steve Martin/Eric Clapton","7.6","39"
20,"Marisa Tomei/Bonnie Raitt","6.9","34"
20,"John Travolta/Seal","8.0","46"
20,"Dana Carvey/Edie Brickell & Paul Simon","6.5","32"
20,"Sarah Jessica Parker/R.E.M.","6.2","32"
20,"John Turturro/Tom Petty & the Heartbreakers","6.3","33"
20,"Roseanne/Green Day","7.0","36"
20,"Alec Baldwin/Beastie Boys","7.3","46"
20,"George Foreman/Hole","6.1","30"
20,"Jeff Daniels/Luscious Jackson","7.9","34"
20,"David Hyde Pierce/Live","6.8","31"
20,"Bob Newhart/Des'ree","7.4","34"
20,"Deion Sanders/Bon Jovi","5.9","32"
20,"George Clooney/The Cranberries","5.8","37"
20,"Paul Reiser/Annie Lennox","6.7","30"
20,"John Goodman/Tragically Hip","7.7","39"
20,"Damon Wayans/Dionne Farris","7.1","29"
20,"Courteney Cox/Dave Matthews Band","7.4","43"
20,"Bob Saget/TLC","6.7","37"
20,"David Duchovny/Rod Stewart","8.0","43"
21,"Mariel Hemingway/Blues Traveler","6.9","33"
21,"Chevy Chase/Lisa Loeb and Nine Stories","6.5","35"
21,"David Schwimmer/Natalie Merchant","5.9","31"
21,"Gabriel Byrne/Alanis Morissette","6.4","29"
21,"Quentin Tarantino/Smashing Pumpkins","7.1","40"
21,"Laura Leighton/Rancid","5.8","34"
21,"Anthony Edwards/Foo Fighters","6.5","24"
21,"David Alan Grier/Silverchair","6.3","26"
21,"Madeline Kahn/Bush","5.4","28"
21,"Christopher Walken/Joan Osborne","7.4","40"
21,"Alec Baldwin/Tori Amos","6.8","33"
21,"Danny Aiello/Coolio","5.6","27"
21,"Tom Arnold/Tupac Shakur","6.8","34"
21,"Elle MacPherson/Sting","6.2","27"
21,"John Goodman/Everclear","7.5","29"
21,"Phil Hartman/Gin Blossoms","6.8","30"
21,"Steve Forbes/Rage Against the Machine","5.6","30"
21,"Teri Hatcher/Dave Matthews Band","6.4","25"
21,"Christine Baranski/The Cure","6.4","32"
21,"Jim Carrey/Soundgarden","8.5","138"
22,"Tom Hanks/Tom Petty & the Heartbreakers","4.3","44"
22,"Lisa Kudrow/Sheryl Crow","5.6","32"
22,"Bill Pullman/New Edition","4.8","28"
22,"Dana Carvey/Dr. Dre","6.1","23"
22,"Chris Rock/The Wallflowers","4.2","39"
22,"Robert Downey Jr/Fiona Apple","6.3","40"
22,"Phil Hartman/Bush","6.0","25"
22,"Martin Short/No Doubt","5.8","34"
22,"Rosie O'Donnell/Whitney Houston","4.0","44"
22,"Kevin Spacey/Beck","7.1","49"
22,"David Alan Grier/Snoop Doggy Dogg","6.3","27"
22,"Neve Campbell/David Bowie","6.2","37"
22,"Chevy Chase/Live","5.6","25"
22,"Alec Baldwin/Tina Turner","6.0","33"
22,"Sting/Veruca Salt","6.0","27"
22,"Mike Myers/Aerosmith","6.3","27"
22,"Rob Lowe/Spice Girls","5.9","38"
22,"Pamela Lee/Rollins Band","3.7","36"
22,"John Goodman/Jewel","6.3","37"
22,"Jeff Goldblum/En Vogue","6.3","25"
23,"Sylvester Stallone/Jamiroquai","7.4","43"
23,"Matthew Perry/Oasis","6.2","41"
23,"Brendan Fraser/Björk","5.4","41"
23,"Chris Farley/The Mighty Mighty Bosstones","6.6","50"
23,"Jon Lovitz/Jane's Addiction","5.6","30"
23,"Claire Danes/Mariah Carey","5.2","43"
23,"Rudy Giuliani/Sarah McLachlan","5.7","35"
23,"Nathan Lane/Metallica","6.1","33"
23,"Helen Hunt/Hanson","5.9","47"
23,"Samuel L. Jackson/Ben Folds Five","7.2","31"
23,"Sarah Michelle Gellar/Portishead","5.7","45"
23,"John Goodman/Paula Cole","5.7","29"
23,"Roma Downey/Missy 'Misdemeanor' Elliott","5.2","25"
23,"Garth Brooks","6.6","40"
23,"Scott Wolf/Natalie Imbruglia","4.5","26"
23,"Julianne Moore/Backstreet Boys","4.8","32"
23,"Steve Buscemi/Third Eye Blind","6.7","50"
23,"Greg Kinnear/All Saints","5.6","26"
23,"Matthew Broderick/Natalie Merchant","5.8","37"
23,"David Duchovny/Puff Daddy/Jimmy Page","5.5","57"
24,"Cameron Diaz/Smashing Pumpkins","6.6","45"
24,"Kelsey Grammer/Sheryl Crow","5.6","38"
24,"Lucy Lawless/Elliott Smith","7.4","49"
24,"Ben Stiller/Alanis Morrisette","5.9","40"
24,"David Spade/Eagle-Eye Cherry","5.3","37"
24,"Joan Allen/Jewel","5.2","26"
24,"Jennifer Love Hewitt/Beastie Boys","5.5","52"
24,"Vince Vaughn/Lauryn Hill","5.6","31"
24,"Alec Baldwin/Luciano Pavarotti, Vanessa Williams","6.4","45"
24,"Bill Paxton/Beck","6.6","48"
24,"James Van Der Beek/Everlast","5.2","30"
24,"Gwyneth Paltrow/Barenaked Ladies","6.2","44"
24,"Brendan Fraser/The Roots","6.5","37"
24,"Bill Murray/Lucinda Williams","6.0","34"
24,"Ray Romano/The Corrs","5.4","30"
24,"Drew Barrymore/Garbage","6.7","42"
24,"John Goodman/Tom Petty & The Heartbreakers","5.8","35"
24,"Cuba Gooding, Jr./Ricky Martin","3.8","44"
24,"Sarah Michelle Gellar/Backstreet Boys","6.5","64"
25,"Jerry Seinfeld/David Bowie","7.6","62"
25,"Heather Graham/Marc Anthony","5.9","34"
25,"Norm Macdonald/Dr. Dre & Snoop Dogg","7.4","39"
25,"Dylan McDermott/Foo Fighters","6.1","32"
25,"Garth Brooks/Chris Gaines","6.4","35"
25,"Jennifer Aniston/Sting","6.6","58"
25,"Christina Ricci/Beck","5.9","36"
25,"Danny DeVito/R.E.M.","6.1","36"
25,"Jamie Foxx/Blink-182","5.8","35"
25,"Freddie Prinze, Jr./Macy Gray","6.5","42"
25,"Alan Cumming/Jennifer Lopez","5.9","43"
25,"Julianna Margulies/DMX","6.1","27"
25,"Ben Affleck/Fiona Apple","6.8","54"
25,"Joshua Jackson/'N Sync","6.3","48"
25,"The Rock/AC/DC","7.2","53"
25,"Christopher Walken/Christina Aguilera","8.1","73"
25,"Tobey Maguire/Sisqo","6.9","44"
25,"John Goodman/Neil Young","6.2","30"
25,"Britney Spears","4.9","66"
25,"Jackie Chan/Kid Rock","5.7","62"
26,"Rob Lowe/Eminem","6.4","56"
26,"Kate Hudson/Radiohead","7.2","54"
26,"Dana Carvey/The Wallflowers","5.5","47"
26,"Charlize Theron/Paul Simon","5.4","42"
26,"Calista Flockhart/Ricky Martin","4.7","39"
26,"Tom Green/David Gray","5.3","54"
26,"Val Kilmer/U2","6.4","49"
26,"Lucy Liu/Jay-Z","5.7","45"
26,"Charlie Sheen/Nelly Furtado","5.4","39"
26,"Mena Suvari/Lenny Kravitz","5.5","33"
26,"Jennifer Lopez","5.1","44"
26,"Sean Hayes/Shaggy","6.5","39"
26,"Katie Holmes/Dave Matthews Band","5.5","42"
26,"Conan O'Brien/Don Henley","7.5","69"
26,"Julia Stiles/Aerosmith","6.1","45"
26,"Alec Baldwin/Coldplay","6.0","49"
26,"Renée Zellweger/Eve","5.2","44"
26,"Pierce Brosnan/Destiny's Child","6.9","52"
26,"Lara Flynn Boyle/Bon Jovi","5.7","27"
26,"Christopher Walken/Weezer","7.4","50"
27,"Reese Witherspoon/Alicia Keys","6.7","40"
27,"Seann William Scott/Sum41","7.3","42"
27,"Drew Barrymore/Macy Gray","5.5","42"
27,"John Goodman/Ja Rule","5.9","35"
27,"Gwyneth Paltrow/Ryan Adams","6.0","41"
